hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
Conrad Rabat Arzana,https://www.hilton.com/en/hotels/rbacici-conrad-rabat-arzana/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,33.9011609,-7.0005649,"Plage Val d'Or, Rabat 12040, Morocco",google_places,PLACE_DETAILS,ChIJ4TfcmxUNpw0ROHOtdFJPtUU,establishment;lodging;point_of_interest;spa,False,PLACES:rbacici conrad rabat arzana Conrad Hotels & Resorts Hotel
Conrad Tulum Riviera Maya,https://www.hilton.com/en/hotels/cuncici-conrad-tulum-riviera-maya/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,20.3566714,-87.3381737,"Carr. Cancún - Tulum 307, Tulkal, 77774 Cdad. Chemuyil, Q.R., Mexico",google_places,PLACE_DETAILS,ChIJWUmObaozTo8R6Sm3Lg0afEo,establishment;lodging;point_of_interest,False,PLACES:cuncici conrad tulum riviera maya Conrad Hotels & Resorts Hotel
"Aulus Lindos Rhodes Resort, Curio Collection by Hilton",https://www.hilton.com/en/hotels/rholiqq-lindian-village-beach-resort-rhodes/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,36.0666332,27.9915476,"Beach, Λάρδος 851 09, Greece",google_places,PLACE_DETAILS,ChIJO801WgMJlRQRagIXAPOqxxs,establishment;lodging;point_of_interest;spa,False,PLACES:rholiqq lindian village beach resort rhodes Curio Collection by Hilton Hotel
"Baia di Chia Resort Sardinia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/olbbrqq-baia-di-chia-resort-sardinia,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,38.895568,8.8702674,"Viale Spartivento, 1, 09010 Chia CA, Italy",google_places,PLACE_DETAILS,ChIJD1i2Ndfd5hIRHN8VxyLKJ6M,establishment;lodging;point_of_interest,False,PLACES:olbbrqq baia di chia resort sardinia Curio Collection by Hilton Hotel
"Baker's Cay Resort Key Largo, Curio Collection by Hilton",https://www.hilton.com/en/hotels/kylcuqq-bakers-cay-resort-key-largo,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,25.0666838,-80.47214579999999,"97000 Overseas Hwy, Key Largo, FL 33037, USA",google_places,PLACE_DETAILS,ChIJmYfmx35B14gRlyQZig4LeYU,establishment;lodging;point_of_interest,False,PLACES:kylcuqq bakers cay resort key largo Curio Collection by Hilton Hotel
"Boeira Garden Hotel Porto Gaia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/opobgqq-boeira-garden-hotel-porto-gaia,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,41.1357114,-8.6184595,"R. de Serpa Pinto 124, 4400-307 Vila Nova de Gaia, Portugal",google_places,PLACE_DETAILS,ChIJSeuZz3xlJA0R9dgcy15yUoM,establishment;lodging;point_of_interest;spa,False,PLACES:opobgqq boeira garden hotel porto gaia Curio Collection by Hilton Hotel
"Botanika Osa Peninsula, Curio Collection by Hilton",https://www.hilton.com/en/hotels/pjmcrqq-botanika-osa-peninsula,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,8.527225999999999,-83.30671699999999,"Aeropuerto PJM, Costado del aeropuerto, Aeropuerto Oeste, Puntarenas Province, Puerto Jiménez, Costa Rica",google_places,PLACE_DETAILS,ChIJCS1QT-ZmpI8RiaOwW3E5U38,establishment;lodging;point_of_interest,False,PLACES:pjmcrqq botanika osa peninsula Curio Collection by Hilton Hotel
"Boulders Resort & Spa Scottsdale, Curio Collection by Hilton",https://www.hilton.com/en/hotels/phxrsqq-boulders-resort-and-spa-scottsdale,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,33.8004156,-111.9237056,"34631 N Tom Darlington Dr, Scottsdale, AZ 85262, USA",google_places,PLACE_DETAILS,ChIJ38QnRjd5K4cRuwFlJrEVvYY,establishment;lodging;point_of_interest;spa,False,PLACES:phxrsqq boulders resort spa scottsdale Curio Collection by Hilton Hotel
"Casa Mani Resort Napa Valley, Curio Collection by Hilton",https://www.hilton.com/en/hotels/napvpqq-casa-mani-resort-napa-valley,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,38.3003232,-122.3013043,"1075 California Blvd, Napa, CA 94559, USA",google_places,PLACE_DETAILS,ChIJlxgg-VgHhYARqI9xhyIEQ6M,establishment;lodging;point_of_interest,False,PLACES:napvpqq casa mani resort napa valley Curio Collection by Hilton Hotel
"Casa Marina Key West, Curio Collection by Hilton",https://www.hilton.com/en/hotels/eywcmqq-casa-marina-key-west,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,24.5477352,-81.7901279,"1500 Reynolds St, Key West, FL 33040, USA",google_places,PLACE_DETAILS,ChIJOffyTNm30YgRJQ5EnobQkVE,establishment;lodging;point_of_interest,False,PLACES:eywcmqq casa marina key west Curio Collection by Hilton Hotel
"Cloudland at McLemore Resort Lookout Mountain, Curio",https://www.hilton.com/en/hotels/atlokqq-cloudland-at-mclemore-resort-lookout-mountain,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,34.7385152,-85.4462351,"243 Cloudland Dr, Rising Fawn, GA 30738, USA",google_places,PLACE_DETAILS,ChIJmUoQOEA3YIgRaE5OX4dEm-o,establishment;lodging;point_of_interest,False,PLACES:atlokqq cloudland mclemore resort lookout mountain Curio Collection by Hilton Hotel
"Diplomat Beach Resort Hollywood, Curio Collection by Hilton",https://www.hilton.com/en/hotels/flldhqq-the-diplomat-beach-resort-hollywood,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,25.9917114,-80.117931,"3555 S Ocean Dr, Hollywood, FL 33019, USA",google_places,PLACE_DETAILS,ChIJucq_QV6r2YgR3ABMJngVlVw,establishment;lodging;point_of_interest,False,PLACES:flldhqq diplomat beach resort hollywood Curio Collection by Hilton Hotel
"Domes Aulus Elounda Resort, Curio by Hilton",https://www.hilton.com/en/hotels/herbsqq-domes-aulus-elounda-resort,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,35.277694,25.7232969,"Aghia Paraskevi, Schisma Elountas 720 53, Greece",google_places,PLACE_DETAILS,ChIJH2FY6TGDkBQRK8M-D8ZrGrM,establishment;lodging;point_of_interest;spa,False,PLACES:herbsqq domes aulus elounda resort Curio Collection by Hilton Hotel
